schema_name,table_name,column_name,data_type,is_primary_key,fk_name,fk_source_columns,fk_target_schema,fk_target_table,fk_target_columns
public,calotes_jogo,cluster_uuid,uuid,true,calotes_jogo_resultado_fkey,"{id_jogo,id_jogo,cluster_uuid,cluster_uuid}",public,resultados_jogos,"{id_jogo,id_jogo,cluster_uuid,cluster_uuid}"
public,calotes_jogo,cluster_uuid,uuid,true,calotes_jogo_jogador_fkey,"{nome_jogador,nome_jogador,cluster_uuid,cluster_uuid}",public,jogadores,"{nome,nome,cluster_uuid,cluster_uuid}"
public,calotes_jogo,id_jogo,uuid,true,calotes_jogo_resultado_fkey,"{id_jogo,id_jogo,cluster_uuid,cluster_uuid}",public,resultados_jogos,"{id_jogo,id_jogo,cluster_uuid,cluster_uuid}"
public,calotes_jogo,id_jogo,uuid,true,calotes_jogo_jogador_fkey,"{nome_jogador,nome_jogador,cluster_uuid,cluster_uuid}",public,jogadores,"{nome,nome,cluster_uuid,cluster_uuid}"
public,calotes_jogo,nome_jogador,text,true,calotes_jogo_jogador_fkey,"{nome_jogador,nome_jogador,cluster_uuid,cluster_uuid}",public,jogadores,"{nome,nome,cluster_uuid,cluster_uuid}"
public,calotes_jogo,nome_jogador,text,true,calotes_jogo_resultado_fkey,"{id_jogo,id_jogo,cluster_uuid,cluster_uuid}",public,resultados_jogos,"{id_jogo,id_jogo,cluster_uuid,cluster_uuid}"
public,calotes_jogo,pago,boolean,false,calotes_jogo_jogador_fkey,"{nome_jogador,nome_jogador,cluster_uuid,cluster_uuid}",public,jogadores,"{nome,nome,cluster_uuid,cluster_uuid}"
public,calotes_jogo,pago,boolean,false,calotes_jogo_resultado_fkey,"{id_jogo,id_jogo,cluster_uuid,cluster_uuid}",public,resultados_jogos,"{id_jogo,id_jogo,cluster_uuid,cluster_uuid}"
public,cluster_members,admin,boolean,false,cluster_members_cluster_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,cluster_members,cluster_uuid,uuid,true,cluster_members_cluster_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,cluster_members,created_at,timestamp with time zone,false,cluster_members_cluster_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,cluster_members,nome,text,false,cluster_members_cluster_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,cluster_members,updated_at,timestamp with time zone,false,cluster_members_cluster_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,cluster_members,user_id,uuid,true,cluster_members_cluster_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,clusters,cluster_uuid,uuid,true,clusters_created_by_fkey,{created_by},auth,users,{id}
public,clusters,configuracoes,jsonb,false,clusters_created_by_fkey,{created_by},auth,users,{id}
public,clusters,created_at,timestamp with time zone,false,clusters_created_by_fkey,{created_by},auth,users,{id}
public,clusters,created_by,uuid,false,clusters_created_by_fkey,{created_by},auth,users,{id}
public,clusters,nome_cluster,text,false,clusters_created_by_fkey,{created_by},auth,users,{id}
public,configuracoes_cluster,cluster_uuid,uuid,true,configuracoes_cluster_cluster_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,configuracoes_cluster,team_a_color,text,false,configuracoes_cluster_cluster_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,configuracoes_cluster,team_a_name,text,false,configuracoes_cluster_cluster_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,configuracoes_cluster,team_b_color,text,false,configuracoes_cluster_cluster_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,configuracoes_cluster,team_b_name,text,false,configuracoes_cluster_cluster_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,golos_por_jogador,cluster_uuid,uuid,true,golos_por_jogador_jogador_fkey,"{nome_jogador,nome_jogador,cluster_uuid,cluster_uuid}",public,jogadores,"{nome,nome,cluster_uuid,cluster_uuid}"
public,golos_por_jogador,cluster_uuid,uuid,true,golos_por_jogador_resultado_fkey,"{id_jogo,id_jogo,cluster_uuid,cluster_uuid}",public,resultados_jogos,"{id_jogo,id_jogo,cluster_uuid,cluster_uuid}"
public,golos_por_jogador,id_jogo,uuid,true,golos_por_jogador_resultado_fkey,"{id_jogo,id_jogo,cluster_uuid,cluster_uuid}",public,resultados_jogos,"{id_jogo,id_jogo,cluster_uuid,cluster_uuid}"
public,golos_por_jogador,id_jogo,uuid,true,golos_por_jogador_jogador_fkey,"{nome_jogador,nome_jogador,cluster_uuid,cluster_uuid}",public,jogadores,"{nome,nome,cluster_uuid,cluster_uuid}"
public,golos_por_jogador,nome_jogador,text,true,golos_por_jogador_jogador_fkey,"{nome_jogador,nome_jogador,cluster_uuid,cluster_uuid}",public,jogadores,"{nome,nome,cluster_uuid,cluster_uuid}"
public,golos_por_jogador,nome_jogador,text,true,golos_por_jogador_resultado_fkey,"{id_jogo,id_jogo,cluster_uuid,cluster_uuid}",public,resultados_jogos,"{id_jogo,id_jogo,cluster_uuid,cluster_uuid}"
public,golos_por_jogador,numero_golos,integer,false,golos_por_jogador_resultado_fkey,"{id_jogo,id_jogo,cluster_uuid,cluster_uuid}",public,resultados_jogos,"{id_jogo,id_jogo,cluster_uuid,cluster_uuid}"
public,golos_por_jogador,numero_golos,integer,false,golos_por_jogador_jogador_fkey,"{nome_jogador,nome_jogador,cluster_uuid,cluster_uuid}",public,jogadores,"{nome,nome,cluster_uuid,cluster_uuid}"
public,jogadores,cluster_uuid,uuid,true,jogadores_cluster_uuid_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,jogadores,derrotas,integer,false,jogadores_cluster_uuid_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,jogadores,empates,integer,false,jogadores_cluster_uuid_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,jogadores,golos_marcados,integer,false,jogadores_cluster_uuid_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,jogadores,nome,text,true,jogadores_cluster_uuid_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,jogadores,numero_jogos,integer,false,jogadores_cluster_uuid_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,jogadores,numero_vitorias,integer,false,jogadores_cluster_uuid_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,jogadores,rating,integer,false,jogadores_cluster_uuid_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,jogadores,visivel,boolean,false,jogadores_cluster_uuid_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,resultados_jogos,cluster_uuid,uuid,true,resultados_jogos_cluster_uuid_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,resultados_jogos,data,date,false,resultados_jogos_cluster_uuid_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,resultados_jogos,id_jogo,uuid,true,resultados_jogos_cluster_uuid_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,resultados_jogos,jogadores_equipa_a,text,false,resultados_jogos_cluster_uuid_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,resultados_jogos,jogadores_equipa_b,text,false,resultados_jogos_cluster_uuid_fkey,{cluster_uuid},public,clusters,{cluster_uuid}
public,resultados_jogos,vencedor,character(1),false,resultados_jogos_cluster_uuid_fkey,{cluster_uuid},public,clusters,{cluster_uuid}